ID;Адрес;Начало управления;Этажей;Квартир;Год;Площадь м2
1;ул. 45 Параллель, 4/2, Ставрополь;22.04.2015;9;52;2001;1978,7
2;ул. Васильева, 1, Ставрополь;22.04.2015;9;144;1983;7950,4
3;ул. Доваторцев, 66/2, Ставрополь;01.11.2020;9;102;1984;3176,4
4;ул. Мира, 236, Ставрополь;04.11.2007;10;62;1991;4423,1
5;ул. Мира, 272, Ставрополь;22.04.2015;9;88;2006;6204,7
6;ул. Мира, 278, Ставрополь;01.08.2019;10;40;2008;3294,1
7;пл. Выставочная, 40, Светлоград;01.12.2018;5;70;1985;2369,2
8;пл. Выставочная, 43, Светлоград;01.07.2019;5;68;1987;3702,8
9;пл. Выставочная, 45, Светлоград;01.12.2019;4;68;1990;3731,5
10;пл. Выставочная, 47, Светлоград;01.07.2019;5;68;1993;4079,2
11;пл. Выставочная, 48, Светлоград;01.12.2018;5;68;1995;3654,6
12;пл. Выставочная, 49, Светлоград;01.06.2021;5;60;1995;2891,7
13;пл. Выставочная, 50, Светлоград;01.02.2019;5;60;1995;4014,5
14;пл. Выставочная, 57, Светлоград;01.02.2020;3;36;2015;2075,7
15;пл. Выставочная, 58, Светлоград;01.11.2021;5;;2013;3124,2
16;ул. Бассейная, 82, Светлоград;01.03.2021;5;48;1988;3255,3
17;ул. Красная, 44а, Светлоград;01.03.2022;5;60;1983;4317,4
18;ул. Матросова, 179а, Светлоград;18.02.2022;4;28;1979;879,4
19;ул. Пушкина, 12, Светлоград;01.10.2020;5;118;1980;5316,8
20;ул. Пушкина, 3а, Светлоград;01.12.2018;5;48;1990;1007,9
21;ул. Ярмарочная, 21, Светлоград;01.01.2021;5;58;1985;2586,6
